temperature,ph_level,turbidity,temp_delta,ph_delta,turb_delta,is_safe
31.03,8.11,66.55,0.12,0.06,-1.38,1
27.22,7.42,77.64,-0.16,-0.0,1.82,1
30.01,7.11,61.13,-2.66,-0.87,37.8,0
36.37,6.13,97.7,-0.13,-0.08,-0.73,0
27.07,6.93,70.6,2.84,0.51,20.52,0
29.99,7.7,76.64,0.16,-0.03,-1.32,1
29.4,7.48,30.45,0.13,-0.09,-1.18,1
29.87,6.67,42.69,0.18,0.0,0.17,1
27.5,7.58,79.79,-2.76,-0.71,30.43,0
34.66,9.82,131.81,0.03,0.04,0.68,0
29.78,7.95,51.77,1.58,0.82,26.5,0
28.01,7.2,74.21,-0.1,-0.04,-0.78,1
31.23,7.61,75.88,-0.18,-0.0,-1.03,1
22.11,5.05,100.93,0.2,0.02,-0.39,0
27.92,8.26,50.34,0.13,-0.03,-1.69,1
27.96,6.94,67.64,-0.07,0.03,-0.82,1
26.89,6.71,69.39,0.14,-0.07,-1.59,1
27.18,7.44,77.73,0.24,-0.02,-0.89,1
31.26,7.9,61.31,-0.03,0.07,1.24,1
26.17,8.4,56.1,0.07,0.0,0.14,1
27.99,7.93,51.26,0.18,0.09,-1.76,1
30.6,6.83,44.15,-0.2,0.01,-1.21,1
30.46,7.06,56.02,0.26,-0.0,-0.14,1
27.9,7.78,32.65,0.15,0.08,-1.67,1
31.26,6.7,50.87,0.2,-0.02,-0.45,1
31.02,7.15,54.42,-0.25,0.08,1.08,1
29.31,8.32,30.01,0.2,0.04,1.77,1
36.57,8.97,134.62,-0.21,0.04,1.69,0
33.11,9.31,120.0,0.11,-0.08,1.48,0
28.0,6.65,77.65,2.64,-0.93,29.87,0
22.32,6.06,90.24,0.04,0.05,-0.15,0
27.91,8.41,40.42,-0.01,-0.08,-0.3,1
30.22,8.27,59.54,0.0,-0.01,-1.8,1
21.38,4.22,134.4,0.17,-0.05,-0.64,0
35.81,5.21,120.1,-0.16,0.03,1.86,0
29.9,6.93,71.11,0.26,-0.06,0.18,1
28.23,8.34,73.29,-2.4,0.82,39.63,0
28.68,6.75,62.8,0.27,0.0,-1.31,1
27.88,8.11,47.24,0.1,-0.08,-0.62,1
29.34,7.19,58.37,0.28,0.09,1.61,1
27.64,7.32,66.37,0.03,0.05,1.18,1
21.11,5.27,99.2,-0.14,-0.02,-0.0,0
26.96,7.73,70.38,-0.3,0.04,0.81,1
31.0,6.7,69.58,1.91,0.65,21.46,0
28.28,8.39,78.47,0.07,-0.06,1.49,1
26.13,6.6,48.93,-0.25,-0.01,-0.48,1
28.22,6.51,55.57,0.2,-0.09,0.23,1
25.44,7.12,60.05,-0.25,0.03,-1.39,1
31.95,7.15,37.68,-0.18,-0.01,1.42,1
29.44,7.92,77.87,-0.06,0.08,-0.57,1
28.65,6.74,32.84,2.59,0.8,19.56,0
25.38,7.79,72.38,2.73,-0.62,18.11,0
28.63,8.42,35.91,-0.05,-0.04,1.81,1
27.46,7.64,35.42,-0.18,-0.1,-0.66,1
27.27,6.7,55.18,2.89,0.75,23.86,0
31.3,7.84,59.98,1.57,0.56,38.39,0
25.35,7.93,40.29,-0.16,0.1,0.61,1
21.01,9.12,144.03,-0.29,0.07,-1.49,0
26.71,7.79,57.53,0.03,0.01,1.13,1
30.43,6.98,70.44,-0.21,0.08,1.98,1
30.0,7.99,70.18,1.76,0.53,20.4,0
27.78,7.48,56.21,0.08,0.08,-0.38,1
27.92,6.6,39.71,-1.7,0.58,34.65,0
30.63,7.56,72.58,-0.2,0.01,-0.83,1
34.3,4.94,136.18,-0.25,0.02,0.15,0
26.81,7.36,58.42,2.94,0.93,25.49,0
26.58,8.03,72.67,0.2,0.03,0.95,1
26.79,7.32,50.19,-2.73,0.8,35.0,0
26.16,7.0,47.11,0.03,-0.0,0.44,1
30.68,8.37,66.63,-0.08,-0.09,1.71,1
28.67,8.4,62.03,0.01,-0.01,0.17,1
26.35,7.93,77.66,0.27,0.08,1.08,1
31.65,6.79,44.41,0.2,0.05,-0.21,1
30.3,7.56,70.68,-0.15,0.08,1.35,1
29.53,8.44,40.19,-2.98,0.8,27.33,0
25.31,6.68,32.82,-2.5,0.51,21.81,0
29.5,7.8,35.97,0.14,-0.07,-1.76,1
28.65,8.01,78.23,-0.17,-0.06,0.75,1
27.48,7.53,31.14,-0.2,0.1,-0.97,1
26.54,8.03,32.78,-1.69,0.91,32.58,0
25.92,8.48,51.15,0.2,-0.02,-1.12,1
31.93,7.46,44.99,0.05,0.01,1.05,1
30.05,8.32,34.31,-0.08,0.04,1.53,1
27.21,6.67,55.86,0.25,-0.03,-1.97,1
26.33,7.93,35.26,-0.28,0.07,0.15,1
25.95,8.47,47.08,0.29,-0.05,-1.18,1
26.2,7.4,70.12,-0.04,-0.09,-1.17,1
37.97,4.67,141.84,0.09,-0.07,-0.94,0
28.2,6.51,67.84,-0.27,0.04,0.47,1
31.72,6.58,46.57,-2.23,0.79,22.94,0
31.06,8.38,40.44,0.15,-0.09,-0.45,1
31.85,6.63,49.78,0.15,-0.04,0.54,1
28.41,7.75,39.32,-0.22,0.08,0.02,1
29.01,7.22,75.74,-0.24,-0.03,-0.34,1
27.83,8.41,57.6,-2.68,-0.73,30.29,0
29.24,7.14,60.22,2.95,0.74,34.54,0
28.39,7.88,36.6,2.16,-0.6,24.95,0
23.38,9.28,133.96,-0.07,-0.02,1.44,0
29.35,8.18,72.89,-0.15,0.04,-1.21,1
27.63,7.92,32.74,2.98,-0.76,25.06,0
29.07,7.73,63.45,0.19,0.02,1.63,1
27.61,6.76,69.95,-0.08,-0.09,-1.37,1
26.68,6.74,66.74,0.16,-0.0,0.23,1
29.59,6.99,58.03,-0.02,0.02,-1.04,1
28.53,6.95,68.84,-0.3,-0.03,1.08,1
30.19,7.33,43.25,-1.67,0.92,32.48,0
31.18,6.96,74.89,0.0,-0.1,-1.07,1
26.2,7.89,35.72,-0.06,-0.04,0.72,1
26.61,6.92,34.97,0.04,0.06,-1.81,1
34.87,9.19,148.32,-0.19,-0.09,-0.15,0
31.45,8.08,40.74,-0.12,0.05,0.09,1
27.53,8.42,31.93,0.15,0.02,-0.3,1
28.47,6.63,76.49,-0.01,0.06,-1.22,1
26.01,6.57,74.15,-0.22,0.04,-1.31,1
26.94,6.5,64.31,-0.05,-0.04,-0.15,1
25.29,7.07,69.65,-0.16,0.09,0.92,1
27.57,7.35,75.59,0.29,0.02,-1.42,1
31.56,6.76,47.38,0.08,0.07,0.98,1
31.12,8.27,71.54,-0.0,0.05,1.98,1
33.9,9.48,108.9,-0.11,-0.05,-0.36,0
28.73,7.76,78.59,-0.05,-0.05,-0.54,1
31.65,6.77,37.13,0.14,-0.07,-1.67,1
29.79,7.69,48.0,-0.23,-0.06,0.56,1
20.55,6.01,141.3,-0.19,0.07,-0.31,0
31.04,7.23,62.2,-0.07,0.05,1.62,1
28.87,6.73,35.2,-0.02,0.01,1.77,1
28.75,6.67,45.78,-0.05,-0.03,0.9,1
20.61,5.14,106.67,0.16,0.05,1.14,0
31.52,6.58,72.64,-0.09,0.07,1.28,1
31.24,7.03,77.2,0.22,0.05,0.12,1
27.42,7.26,54.8,2.8,-0.89,18.15,0
31.8,7.02,64.09,-0.13,-0.02,1.08,1
31.95,7.86,69.6,-0.28,0.06,0.19,1
28.1,8.23,41.52,0.15,0.07,-1.75,1
27.18,6.97,41.26,-0.29,0.09,-0.12,1
29.05,7.42,38.86,-0.0,0.05,1.81,1
28.35,6.7,78.06,2.06,-0.83,28.33,0
25.36,8.18,78.24,-0.18,0.09,0.9,1
31.61,8.28,38.76,-2.0,0.68,33.84,0
28.89,8.32,39.11,-0.05,0.02,0.76,1
29.43,7.28,33.3,0.23,-0.07,0.18,1
25.14,7.66,74.8,0.02,-0.08,-0.42,1
36.67,9.88,96.09,0.26,-0.08,1.24,0
28.87,8.36,43.64,-0.24,-0.04,0.29,1
27.75,8.42,64.66,-0.03,-0.05,0.84,1
27.61,7.8,38.85,-0.27,-0.02,-1.66,1
27.24,7.62,45.33,0.1,0.06,1.83,1
30.8,8.13,53.0,0.25,0.01,0.55,1
29.3,7.3,42.22,0.28,-0.01,1.76,1
25.36,8.13,61.76,-1.57,0.73,16.4,0
30.59,8.25,37.2,-2.37,-0.96,21.35,0
29.11,7.08,40.35,-2.14,-0.89,39.54,0
28.61,7.87,76.98,1.88,0.68,38.79,0
28.89,7.09,50.82,0.28,0.01,1.72,1
31.21,8.36,56.54,-0.3,-0.02,0.18,1
28.9,6.55,46.35,2.77,-0.84,25.53,0
31.93,7.71,39.16,2.05,0.67,17.71,0
33.38,5.74,107.6,0.01,-0.02,-0.82,0
31.32,8.22,44.57,0.28,-0.03,-1.09,1
25.13,8.35,50.7,0.03,0.03,0.04,1
30.91,6.55,52.56,-0.08,-0.05,1.21,1
29.69,8.34,42.03,0.15,0.06,-0.41,1
29.98,8.36,60.2,0.28,0.08,-0.32,1
29.31,7.47,79.66,0.23,-0.09,-0.05,1
20.85,6.02,137.79,-0.29,0.06,1.83,0
30.57,7.06,39.27,-0.01,0.07,-1.17,1
27.82,7.27,61.85,-0.27,0.05,1.2,1
30.9,7.62,40.19,-0.12,-0.0,-1.07,1
27.36,7.38,51.75,0.27,-0.02,1.22,1
20.49,9.79,95.85,0.03,-0.07,-1.81,0
27.07,7.16,58.51,2.18,0.83,30.81,0
27.87,7.35,77.44,0.25,0.07,-0.65,1
29.61,7.28,46.14,-0.09,0.04,1.0,1
28.93,7.32,78.74,-0.21,0.05,1.41,1
26.91,8.44,55.88,-0.07,0.09,1.55,1
30.34,8.29,30.97,-0.16,0.07,-1.78,1
31.1,8.28,78.11,-0.16,0.02,-0.06,1
27.46,6.77,76.15,-1.75,0.58,38.73,0
31.4,7.53,34.72,0.28,0.09,1.4,1
28.68,7.45,35.77,-0.18,-0.09,1.76,1
25.18,7.28,49.0,0.03,0.08,-0.45,1
30.26,8.42,60.34,-0.0,0.09,1.48,1
29.28,8.15,62.39,-2.31,0.84,29.09,0
25.16,7.71,58.1,-0.17,-0.09,1.21,1
30.47,7.72,47.64,-0.27,-0.06,-1.79,1
29.9,6.96,62.04,-0.27,-0.09,1.89,1
25.79,8.19,61.31,-0.15,0.09,-0.37,1
31.83,8.03,42.21,0.24,0.05,0.94,1
26.69,8.43,76.88,-2.04,-0.59,24.71,0
28.85,7.71,52.92,0.11,0.07,-1.36,1
21.74,5.47,103.85,-0.19,-0.05,0.1,0
31.79,7.77,38.45,0.01,0.09,1.47,1
31.87,8.29,50.19,-0.24,-0.02,1.93,1
28.35,8.38,67.56,0.05,-0.05,-1.59,1
25.3,7.72,67.49,2.79,0.78,19.47,0
29.88,7.13,35.22,0.19,-0.05,0.48,1
25.97,7.59,58.15,0.07,-0.0,0.74,1
28.69,7.35,78.61,-0.04,-0.03,-1.21,1
30.25,7.55,72.57,0.22,0.08,0.07,1
28.53,7.93,41.41,0.2,0.09,0.02,1
29.11,7.03,54.48,-2.59,-0.71,27.24,0
29.14,7.22,75.77,2.15,-0.57,25.41,0
27.72,7.3,67.98,0.18,0.1,-1.41,1
21.95,10.21,95.23,0.29,0.0,-1.23,0
22.76,4.2,122.07,0.14,0.03,-0.58,0
28.63,6.58,32.09,-0.23,-0.03,-0.31,1
27.74,7.32,68.36,-0.22,0.07,1.7,1
25.93,6.62,50.96,-2.15,-0.95,27.64,0
22.17,4.7,103.67,-0.08,-0.09,0.34,0
35.33,5.01,148.86,0.26,0.05,1.43,0
23.69,10.11,146.21,0.18,0.01,1.04,0
28.98,7.83,45.24,0.07,-0.1,-0.32,1
26.42,7.57,35.59,-0.22,0.09,0.54,1
30.83,6.8,38.86,-0.21,-0.07,-1.97,1
27.01,7.39,62.92,0.16,-0.05,-1.44,1
30.25,7.44,63.36,0.21,-0.05,-0.17,1
30.5,6.8,53.83,-0.07,-0.02,1.46,1
24.4,6.19,149.31,0.24,-0.05,2.0,0
31.14,6.63,66.91,0.19,0.07,1.82,1
26.26,7.98,66.82,-2.2,-0.69,18.81,0
27.88,7.43,76.37,0.1,-0.05,-0.83,1
26.91,7.65,73.81,-0.08,-0.02,-0.65,1
21.54,9.06,144.18,-0.19,-0.04,1.14,0
36.23,4.5,111.64,0.08,-0.1,-0.41,0
36.29,9.04,95.7,-0.09,-0.0,0.56,0
26.61,7.3,75.05,-0.01,-0.03,1.54,1
31.67,7.97,35.11,0.13,-0.09,-0.85,1
31.79,6.92,71.53,1.68,0.81,24.2,0
28.26,8.3,72.88,-2.14,0.89,34.99,0
26.49,7.16,72.38,2.73,0.58,31.87,0
30.13,8.18,71.46,-2.63,0.59,39.25,0
28.35,7.45,66.97,-0.22,-0.03,0.26,1
26.48,8.35,51.71,-0.03,0.04,0.51,1
27.51,7.67,65.66,-0.0,0.01,1.32,1
28.11,7.69,38.87,-2.92,0.6,30.72,0
30.52,7.44,51.33,0.15,0.03,0.81,1
29.99,8.48,75.33,0.04,-0.07,-1.92,1
28.66,7.49,41.37,-0.01,-0.01,-1.07,1
20.52,9.38,133.89,0.16,0.03,1.02,0
29.15,6.91,77.7,0.01,-0.02,0.41,1
31.1,7.42,37.88,-0.29,0.04,0.59,1
27.91,7.44,54.01,0.11,-0.01,1.09,1
33.85,9.93,140.61,-0.06,0.09,1.07,0
27.31,7.93,35.26,-0.09,0.08,0.4,1
28.93,8.05,61.36,0.04,0.06,1.04,1
36.73,8.97,102.05,-0.18,-0.1,-0.47,0
31.21,8.12,62.45,-0.14,-0.09,1.45,1
25.97,7.94,79.75,-2.14,0.97,18.76,0
25.63,7.76,54.87,0.26,0.04,0.93,1
26.36,7.47,62.55,-2.77,0.57,23.86,0
27.78,8.47,67.71,0.19,0.07,0.81,1
29.87,7.02,48.95,2.06,-0.82,38.17,0
31.44,6.94,51.49,-0.18,-0.1,-0.95,1
28.39,7.41,42.39,-1.51,0.82,31.61,0
25.16,6.62,75.66,-2.68,0.99,30.74,0
31.37,7.87,67.49,0.18,-0.06,1.04,1
29.44,7.13,34.79,-0.25,0.02,-0.57,1
30.02,8.12,46.69,0.03,-0.07,-0.23,1
29.72,6.64,46.14,0.19,-0.07,-1.02,1
23.85,9.81,93.47,-0.21,-0.09,-0.69,0
25.16,7.58,50.69,1.73,0.74,34.49,0
26.53,8.25,55.52,2.18,-0.98,28.76,0
31.49,6.98,30.15,-0.26,0.04,-0.96,1
31.03,7.04,60.42,0.23,0.09,0.99,1
28.69,7.02,73.18,0.28,0.02,-1.38,1
26.83,8.31,55.22,0.19,-0.04,1.15,1
29.64,8.09,64.99,2.56,0.92,19.6,0
25.01,8.21,59.91,-0.09,-0.04,-0.89,1
34.42,9.81,116.65,0.3,0.01,0.82,0
26.44,8.06,62.86,0.07,-0.06,1.71,1
27.24,7.17,54.11,-0.05,0.06,1.57,1
20.76,4.27,90.6,-0.21,0.1,-0.74,0
25.97,8.2,54.61,-0.07,-0.08,1.13,1
31.57,8.48,31.24,0.02,0.04,-1.99,1
20.12,4.66,137.51,0.09,-0.04,-0.34,0
29.03,8.27,30.0,1.97,0.89,27.62,0
30.93,7.15,74.05,-0.17,0.05,-1.75,1
29.45,6.54,46.86,-0.01,-0.01,0.56,1
28.21,7.97,44.86,-0.11,-0.05,-1.31,1
31.43,7.87,47.23,1.89,-0.64,34.45,0
29.18,7.91,43.55,-0.09,-0.07,0.74,1
30.07,7.71,33.06,0.02,0.05,1.73,1
23.06,8.89,135.25,0.17,-0.04,0.85,0
25.29,6.58,79.83,-0.26,-0.02,-1.92,1
28.69,8.34,68.81,-0.05,0.04,0.44,1
30.74,7.33,55.54,0.12,-0.09,0.16,1
27.18,8.06,65.3,-1.94,-0.88,22.52,0
26.03,7.28,69.6,-0.04,-0.02,-0.93,1
29.41,8.34,42.91,1.73,0.84,30.54,0
22.66,9.76,146.57,-0.11,-0.09,-1.27,0
27.68,7.97,68.91,-0.24,-0.05,1.1,1
31.29,7.09,60.92,0.18,0.0,0.32,1
29.44,7.4,49.62,2.68,-0.59,28.32,0
36.97,5.41,132.57,0.18,0.02,-0.22,0
25.99,7.24,78.74,-2.75,0.55,18.69,0
30.33,6.59,43.41,2.75,0.9,31.88,0
29.42,7.94,44.64,-0.09,0.05,0.49,1
29.22,7.12,39.75,-0.1,0.03,0.56,1
27.33,7.02,41.61,0.08,0.01,-2.0,1
31.0,6.99,59.42,0.01,0.09,0.79,1
31.88,7.27,79.58,-0.23,-0.1,1.04,1
27.89,8.3,71.13,0.2,-0.06,0.58,1
31.32,7.47,65.34,0.22,0.05,0.44,1
36.77,5.98,102.54,0.2,0.03,-1.06,0
25.04,7.63,71.29,2.15,-0.58,19.32,0
29.69,7.64,42.14,0.02,-0.1,0.08,1
22.72,4.5,146.65,0.21,-0.08,0.71,0
20.41,6.18,86.67,0.15,-0.08,-1.6,0
23.16,9.75,126.66,-0.27,0.06,0.87,0
25.53,6.93,39.35,2.25,-0.63,24.34,0
28.86,7.96,63.96,0.26,-0.07,-1.02,1
25.43,7.35,54.51,0.24,0.04,-1.72,1
33.38,4.82,140.16,0.07,0.01,-0.99,0
30.33,6.69,75.35,2.9,-0.89,36.41,0
31.95,7.18,39.89,-0.02,0.08,1.3,1
26.02,7.11,79.1,-0.3,-0.03,1.51,1
30.19,6.83,48.79,0.25,0.02,1.8,1
30.89,7.68,33.64,2.82,-0.53,26.28,0
27.39,8.06,44.47,2.86,0.65,21.44,0
27.82,7.51,38.25,-2.85,-0.92,35.55,0
30.56,7.25,45.62,-0.0,0.03,-1.71,1
34.36,5.53,121.18,-0.03,-0.05,1.35,0
29.53,8.48,45.88,-2.53,-0.89,15.51,0
29.7,7.46,74.68,0.05,0.05,-1.59,1
32.68,9.5,93.48,-0.26,-0.06,-1.29,0
26.26,7.7,63.16,-0.05,-0.06,-0.33,1
31.89,7.24,64.88,0.2,-0.08,-1.62,1
30.64,7.39,53.99,-0.13,-0.08,-0.9,1
27.06,8.09,50.01,-2.86,-0.78,35.97,0
35.6,10.46,141.68,0.01,0.01,0.9,0
28.97,7.79,70.57,0.01,0.06,-0.79,1
26.15,7.36,32.15,0.25,0.03,0.13,1
34.89,9.9,101.95,-0.07,-0.08,-0.1,0
31.39,7.21,68.33,-0.05,-0.04,-1.78,1
20.18,9.65,85.74,0.13,-0.06,0.08,0
20.7,4.31,99.96,-0.29,0.05,1.9,0
25.88,6.74,50.0,-0.14,0.06,0.88,1
26.56,8.11,63.07,-0.03,-0.02,0.15,1
31.11,7.79,60.47,1.89,-0.97,37.89,0
25.79,6.96,37.68,-2.3,0.83,25.57,0
30.91,6.61,62.13,-0.17,0.0,-0.08,1
27.72,7.54,56.33,-0.03,0.06,1.92,1
21.28,4.67,118.17,0.21,0.02,1.96,0
27.07,6.66,50.51,0.12,0.05,0.3,1
25.92,6.93,71.66,-0.21,-0.09,-1.45,1
27.6,6.88,51.16,2.75,0.62,19.03,0
30.56,7.81,77.94,0.19,-0.05,0.65,1
29.59,7.8,62.24,-0.23,-0.07,-1.13,1
28.37,8.04,39.6,-0.28,0.08,0.07,1
23.52,4.02,143.97,0.29,-0.02,-0.11,0
27.87,7.88,53.32,-2.92,0.64,22.74,0
28.16,7.79,54.96,-0.23,-0.09,-1.14,1
30.32,6.69,62.03,0.23,-0.05,-0.53,1
24.06,4.8,142.02,0.11,-0.03,1.11,0
29.45,7.39,53.24,0.03,-0.05,1.47,1
26.69,8.49,77.85,2.38,-0.77,37.85,0
31.74,7.0,45.47,0.28,0.02,0.8,1
27.04,6.63,58.39,0.3,-0.01,-1.9,1
31.84,7.11,66.2,0.17,0.04,-0.1,1
22.86,4.64,142.95,0.28,0.03,0.48,0
25.64,7.64,47.74,0.11,-0.02,-1.02,1
31.71,8.29,56.87,0.11,-0.06,1.47,1
31.85,7.16,56.87,0.15,-0.05,-0.39,1
