temperature,ph_level,turbidity,is_safe
28.4,8.06,30.49,1
26.0,7.92,55.75,1
28.33,7.93,60.43,1
29.62,7.87,132.7,0
29.57,8.43,54.84,1
21.78,7.18,74.78,0
25.1,7.76,72.36,1
35.5,4.16,60.52,0
25.93,6.65,43.15,1
29.43,6.6,72.48,1
26.75,6.75,67.41,1
25.71,7.72,72.58,1
29.6,6.8,144.46,0
28.29,7.7,33.37,1
25.51,7.78,51.83,1
27.18,7.6,67.67,1
29.33,7.45,47.3,1
30.31,7.65,74.39,1
25.79,6.87,69.14,1
31.36,5.19,58.18,0
25.78,7.96,79.2,1
26.38,8.34,61.21,1
27.3,7.86,71.75,1
28.02,7.91,111.1,0
24.37,7.7,40.11,0
31.3,7.26,33.19,1
26.7,6.77,36.07,1
31.53,8.0,34.37,1
25.76,6.9,74.43,1
28.66,7.63,90.48,0
22.6,7.82,41.88,0
26.8,7.01,30.27,1
27.17,7.25,45.03,1
25.94,7.81,53.32,1
27.2,7.0,34.96,1
29.32,7.82,123.02,0
30.61,7.1,71.29,1
31.98,7.94,39.84,1
29.75,10.24,73.83,0
31.8,7.68,55.17,1
31.14,5.42,61.88,0
26.2,8.07,62.01,1
26.78,8.25,93.48,0
30.06,7.31,51.78,1
31.94,7.1,66.35,1
30.52,7.44,78.23,1
28.11,8.48,72.93,1
29.75,8.26,49.41,1
33.1,5.29,55.27,0
29.46,7.41,61.06,1
26.53,7.36,119.18,0
28.02,7.73,67.54,1
29.01,7.78,55.5,1
34.09,4.45,78.2,0
34.53,4.9,64.0,0
27.89,7.44,40.79,1
26.86,8.25,32.08,1
29.8,8.0,134.33,0
29.48,7.21,34.88,1
27.96,7.05,68.81,1
25.82,6.14,75.35,0
28.27,7.49,42.76,1
26.58,7.75,78.26,1
28.1,6.97,61.96,1
28.9,8.25,53.58,1
27.13,7.29,51.83,1
31.52,6.89,65.05,1
31.89,8.35,45.96,1
35.81,4.59,39.52,0
26.87,7.33,77.77,1
23.18,8.37,51.64,0
31.71,6.96,60.33,1
25.22,8.24,50.69,1
26.25,6.69,50.07,1
26.87,7.68,51.31,1
26.07,7.15,62.45,1
26.31,8.26,70.68,1
28.98,6.69,58.85,1
25.06,8.24,64.52,1
37.35,4.03,53.73,0
27.79,8.31,77.3,1
30.14,7.78,70.48,1
25.02,7.2,57.47,1
25.18,6.75,73.91,1
27.86,8.05,76.54,1
31.77,6.86,79.94,1
29.77,6.81,52.38,1
25.58,8.16,51.83,1
35.02,7.02,67.41,0
26.07,7.7,51.31,1
37.09,5.81,72.44,0
34.63,5.22,60.09,0
28.92,5.18,51.2,0
27.63,7.38,57.45,1
26.9,7.12,39.4,1
30.57,8.4,41.74,1
29.87,7.26,52.7,1
22.27,7.86,39.54,0
30.91,5.83,69.95,0
27.65,8.01,43.4,1
31.93,6.98,75.15,1
35.93,7.76,42.38,0
22.12,8.39,53.64,0
31.72,6.91,66.81,1
28.82,7.98,46.97,1
31.43,7.12,67.46,1
31.48,7.25,56.6,1
27.04,7.66,38.29,1
25.32,7.24,78.0,1
25.46,7.4,63.86,1
27.82,7.27,34.77,1
25.92,7.3,69.72,1
26.78,7.03,64.09,1
29.73,7.69,50.02,1
35.62,5.5,72.71,0
27.29,7.78,45.06,1
31.46,8.19,37.56,1
31.22,6.9,30.49,1
30.22,7.42,133.03,0
31.34,7.74,64.37,1
25.24,8.48,59.35,1
25.44,5.93,53.89,0
27.13,7.35,75.78,1
29.79,5.67,41.36,0
27.81,6.96,143.66,0
28.65,4.28,76.23,0
25.07,8.18,64.02,1
31.02,7.84,54.19,1
26.49,6.81,59.41,1
31.21,8.38,40.37,1
30.87,8.07,35.41,1
37.84,7.09,31.61,0
26.07,7.72,31.59,1
27.6,8.35,59.35,1
35.48,4.31,61.83,0
29.24,6.71,43.34,1
30.03,7.21,48.89,1
25.02,7.84,42.64,1
25.39,8.31,68.58,1
26.35,7.41,31.92,1
34.74,4.38,34.29,0
28.16,6.9,65.8,1
26.48,7.36,76.12,1
30.85,6.93,52.44,1
25.3,9.69,63.06,0
29.36,6.81,35.29,1
27.04,8.32,39.95,1
26.3,7.06,74.23,1
26.45,7.14,39.04,1
31.91,7.68,66.95,1
30.49,7.64,65.36,1
30.61,6.97,66.8,1
28.84,8.14,52.98,1
34.02,4.24,73.43,0
29.74,6.96,92.05,0
27.0,9.17,67.27,0
21.15,7.78,70.81,0
26.59,7.14,73.65,1
29.87,7.38,30.74,1
25.29,6.98,62.92,1
21.37,7.91,31.83,0
31.3,8.92,54.93,0
28.17,7.01,67.66,1
27.72,7.31,76.62,1
26.04,7.09,52.28,1
34.04,5.14,54.7,0
26.57,8.4,69.86,1
28.43,8.08,46.48,1
28.3,9.47,79.69,0
28.13,8.47,49.87,1
27.78,7.56,31.2,1
28.45,7.39,55.9,1
27.76,8.09,64.23,1
29.12,8.17,37.96,1
31.64,7.26,49.77,1
27.02,8.16,53.47,1
29.69,8.26,71.98,1
30.37,7.11,63.7,1
26.43,6.69,57.86,1
34.33,5.09,35.76,0
29.82,6.52,75.22,1
31.34,4.03,53.59,0
29.25,8.28,35.57,1
30.02,7.79,76.68,1
25.61,5.11,48.82,0
26.84,7.44,77.92,1
29.39,6.53,87.64,0
30.23,9.98,67.13,0
30.91,8.46,50.28,1
28.36,8.2,48.32,1
30.42,8.38,49.11,1
37.47,5.64,42.54,0
26.23,6.65,62.42,1
31.7,4.55,57.07,0
25.26,5.43,76.59,0
25.38,7.93,33.2,1
28.22,5.42,55.51,0
25.89,7.84,48.33,1
27.99,6.96,79.16,1
28.05,7.06,55.1,1
30.84,7.31,74.72,1
33.05,6.17,48.9,0
31.11,8.26,116.31,0
31.62,7.65,67.39,1
31.14,6.68,101.5,0
30.97,8.4,77.57,1
33.05,6.52,47.9,0
26.34,8.17,35.08,1
27.33,7.4,48.91,1
30.7,8.06,33.58,1
35.74,8.41,36.74,0
30.73,9.41,69.75,0
28.34,6.66,43.65,1
26.49,8.14,137.07,0
28.6,9.12,76.3,0
28.61,7.81,39.43,1
27.89,7.38,63.02,1
26.21,7.23,61.92,1
25.24,7.23,50.73,1
29.29,7.8,90.39,0
29.55,7.12,61.7,1
26.32,9.87,58.19,0
29.96,8.12,39.43,1
33.52,5.82,61.48,0
28.54,7.14,91.4,0
29.84,5.06,44.99,0
26.84,6.67,48.61,1
28.35,8.3,36.07,1
30.66,5.3,33.58,0
30.01,7.34,42.15,1
31.67,8.37,30.6,1
31.71,8.43,63.79,1
30.62,7.99,58.35,1
26.31,7.57,71.25,1
31.52,7.62,60.27,1
27.37,6.65,61.84,1
31.86,7.37,59.02,1
30.49,7.04,41.24,1
25.23,6.74,79.52,1
26.74,8.34,34.01,1
32.0,7.01,46.8,1
28.91,6.93,79.25,1
22.11,8.02,72.15,0
31.54,9.82,67.71,0
30.21,8.14,57.62,1
28.68,6.55,39.17,1
30.53,7.4,74.96,1
23.27,6.51,68.5,0
25.57,6.93,64.52,1
31.98,6.82,69.54,1
26.75,7.88,30.58,1
31.1,7.26,56.42,1
33.05,4.2,51.76,0
27.92,6.52,68.31,1
27.69,10.28,43.62,0
21.71,7.47,54.93,0
35.6,5.68,31.12,0
31.33,7.06,129.14,0
25.9,7.27,73.99,1
28.94,8.37,40.39,1
31.47,7.96,37.83,1
25.88,7.45,36.5,1
33.55,4.46,59.64,0
36.37,4.69,30.7,0
30.52,7.51,47.65,1
29.77,7.68,148.45,0
28.63,6.87,55.53,1
30.03,7.86,44.73,1
30.75,6.86,138.43,0
25.45,6.85,50.25,1
28.68,7.12,45.31,1
27.19,8.48,44.18,1
30.13,8.28,36.42,1
25.02,8.01,69.37,1
25.33,7.48,53.67,1
26.4,6.84,45.47,1
26.34,6.69,59.85,1
26.68,8.44,37.56,1
29.19,7.74,68.05,1
30.86,8.06,108.02,0
29.33,6.89,51.2,1
28.67,6.76,104.29,0
28.8,7.43,77.09,1
21.95,7.75,48.38,0
31.72,7.41,58.33,1
26.31,10.47,57.73,0
31.85,6.55,33.84,1
28.88,9.21,56.01,0
29.35,6.64,73.19,1
31.12,7.46,57.55,1
35.56,5.98,62.29,0
26.05,7.01,43.84,1
28.57,7.69,53.79,1
34.56,5.03,37.66,0
29.43,7.95,69.22,1
26.17,7.86,33.9,1
28.52,7.27,32.27,1
35.93,6.51,47.6,0
24.24,7.02,72.98,0
31.97,6.68,39.13,1
28.52,8.37,39.73,1
26.3,7.89,43.79,1
25.78,7.24,57.46,1
28.34,7.39,67.34,1
29.89,7.48,67.37,1
27.08,8.47,57.42,1
26.55,5.92,74.85,0
26.41,7.03,60.69,1
30.09,8.15,41.02,1
29.27,7.22,74.2,1
27.22,7.8,77.31,1
26.6,6.75,34.4,1
29.41,6.73,31.48,1
25.2,6.98,31.84,1
26.22,8.32,74.11,1
25.89,7.66,44.6,1
28.61,6.87,35.5,1
28.35,7.01,31.28,1
25.83,7.82,53.63,1
35.83,8.28,38.58,0
29.96,6.91,60.85,1
28.24,8.21,77.63,1
26.47,4.17,62.75,0
31.83,7.12,67.02,1
32.85,6.74,50.94,0
26.86,8.46,53.03,1
28.46,7.95,37.04,1
26.17,8.18,38.15,1
37.0,4.64,61.41,0
27.71,6.94,53.9,1
28.16,8.08,31.97,1
28.66,8.43,128.45,0
31.42,7.22,146.19,0
27.55,8.46,73.41,1
27.74,7.3,53.84,1
33.8,7.03,30.45,0
25.74,8.28,34.77,1
31.99,10.33,69.57,0
33.15,5.16,57.58,0
30.74,6.84,63.02,1
31.72,9.44,42.65,0
28.52,6.72,102.99,0
20.83,6.95,73.58,0
20.47,6.77,53.89,0
25.49,7.6,67.92,1
31.96,7.82,62.15,1
28.86,8.23,68.0,1
27.57,8.09,56.07,1
26.27,7.62,128.54,0
27.11,7.59,33.58,1
31.05,7.85,57.48,1
27.8,7.56,32.32,1
26.33,6.57,37.31,1
25.75,6.78,43.01,1
25.43,8.44,72.28,1
25.11,9.37,30.88,0
29.56,6.81,50.71,1
28.21,7.18,45.72,1
25.62,6.59,145.74,0
29.88,7.59,76.95,1
27.61,7.54,57.74,1
25.64,7.25,47.44,1
30.54,8.48,52.32,1
34.81,5.31,50.23,0
26.86,6.56,75.85,1
24.37,7.15,30.94,0
27.82,7.46,78.65,1
27.98,8.24,45.76,1
31.09,7.31,72.23,1
35.36,5.76,47.13,0
28.83,7.26,43.01,1
31.54,6.74,76.48,1
27.72,8.37,51.44,1
28.37,7.7,66.89,1
22.65,6.95,74.24,0
26.68,8.04,62.72,1
27.0,7.86,46.25,1
27.81,7.58,52.96,1
25.61,8.27,50.58,1
36.66,4.96,39.05,0
28.67,8.09,127.46,0
34.03,7.13,71.74,0
29.33,6.77,47.99,1
25.79,8.12,71.46,1
27.67,7.81,41.54,1
31.21,7.55,40.77,1
25.6,10.42,65.9,0
26.0,8.09,93.48,0
25.42,8.05,61.93,1
30.57,8.24,72.52,1
37.83,5.34,78.84,0
30.12,6.51,55.12,1
25.38,7.04,49.74,1
25.99,6.17,50.65,0
30.93,8.41,61.61,1
29.85,9.95,59.99,0
31.31,8.07,37.75,1
27.59,9.2,47.66,0
31.43,6.62,57.48,1
21.3,6.86,66.49,0
27.0,6.74,34.19,1
30.34,7.23,77.72,1
33.98,7.81,69.31,0
29.35,6.56,43.16,1
31.91,7.94,72.28,1
25.8,7.05,40.06,1
25.31,7.8,74.49,1
37.11,6.14,64.96,0
29.93,6.56,63.57,1
29.53,7.25,44.36,1
36.2,6.06,33.67,0
29.69,8.09,76.6,1
26.38,7.79,72.38,1
26.28,6.69,62.27,1
27.29,7.73,60.29,1
27.46,4.28,49.83,0
26.64,6.97,148.62,0
28.05,7.59,49.88,1
31.08,6.57,88.23,0
29.17,5.91,74.09,0
34.43,7.46,41.93,0
26.07,5.98,71.93,0
25.11,7.64,76.27,1
26.02,8.07,37.93,1
28.01,7.73,64.18,1
30.91,7.55,39.6,1
30.68,6.66,54.82,1
30.39,6.74,50.18,1
27.0,7.49,62.93,1
31.12,8.24,44.02,1
31.43,10.3,79.62,0
27.36,7.38,77.38,1
27.04,7.15,32.27,1
28.28,7.24,39.51,1
29.41,6.64,31.97,1
26.61,7.02,44.31,1
27.6,8.43,58.91,1
31.61,6.82,32.82,1
28.93,7.18,63.28,1
33.78,4.68,45.05,0
26.74,7.81,77.75,1
31.65,6.91,130.81,0
25.88,10.49,78.09,0
35.14,5.23,60.28,0
29.65,7.36,137.29,0
28.48,7.19,77.11,1
25.33,8.27,59.56,1
27.15,8.03,36.93,1
25.76,7.6,49.6,1
31.2,8.08,134.33,0
30.48,8.18,30.07,1
31.36,7.54,34.84,1
27.73,6.8,59.41,1
27.15,8.0,72.07,1
36.1,7.96,45.0,0
28.79,7.73,76.87,1
30.0,7.08,39.45,1
36.14,4.94,32.1,0
26.67,8.15,41.84,1
30.47,7.43,97.42,0
31.38,7.55,35.47,1
27.95,8.88,65.62,0
30.22,8.11,38.57,1
29.94,7.78,79.62,1
25.05,7.93,65.71,1
31.71,6.85,39.1,1
29.63,7.36,77.72,1
26.3,7.76,44.89,1
27.75,5.61,32.75,0
25.55,6.73,34.79,1
21.08,8.22,30.32,0
24.04,7.55,64.86,0
26.26,7.49,139.18,0
31.69,7.23,67.81,1
26.54,7.19,37.21,1
26.02,8.17,67.79,1
29.54,4.69,35.01,0
31.22,8.35,44.07,1
26.21,4.74,73.23,0
29.37,7.64,58.85,1
33.04,5.02,56.75,0
30.42,6.58,39.0,1
30.39,7.68,58.09,1
31.45,7.55,103.7,0
25.89,7.68,79.16,1
28.34,7.86,75.72,1
28.55,8.49,79.41,1
29.65,8.05,62.02,1
28.31,7.24,74.09,1
31.49,6.85,94.88,0
22.33,7.9,48.47,0
26.8,6.75,34.52,1
26.64,8.21,66.28,1
26.6,9.85,54.57,0
26.81,7.71,62.58,1
26.36,6.63,33.37,1
27.99,7.96,46.58,1
26.34,5.0,68.63,0
28.27,7.24,46.3,1
29.99,7.27,79.46,1
36.56,4.36,31.46,0
30.34,8.29,35.29,1
30.09,7.73,46.37,1
31.43,6.55,52.73,1
29.96,6.66,48.52,1
22.24,6.86,33.16,0
33.66,8.06,48.99,0
31.01,7.68,63.4,1
29.04,6.73,58.46,1
25.59,10.2,37.51,0
29.23,7.26,55.14,1
30.8,7.57,69.82,1
31.39,7.04,60.3,1
29.38,7.53,42.05,1
32.57,8.16,61.67,0
22.13,7.62,35.68,0
29.32,6.61,67.59,1
29.14,7.64,60.72,1
37.59,7.14,60.38,0
30.73,7.69,59.9,1
25.51,7.54,64.32,1
31.2,6.62,49.92,1
27.99,8.06,61.77,1
20.2,6.92,32.03,0
33.76,5.58,79.46,0
29.05,6.89,121.61,0
29.71,7.56,74.41,1
28.22,7.51,46.49,1
31.59,7.46,47.06,1
29.81,7.11,118.38,0
30.17,9.08,73.71,0
31.62,6.66,129.11,0
26.73,6.67,123.95,0
31.32,9.93,66.39,0
26.39,6.57,66.13,1
31.73,7.64,115.85,0
25.18,8.02,39.06,1
33.7,7.41,45.76,0
32.79,5.83,40.33,0
26.04,8.36,75.56,1
29.34,6.87,44.08,1
29.69,5.39,61.66,0
25.5,7.35,32.04,1
29.92,7.54,47.51,1
29.62,8.23,33.94,1
27.3,7.42,64.86,1
27.26,8.07,39.37,1
29.82,7.77,52.04,1
28.82,7.93,43.68,1
30.62,8.35,36.05,1
31.26,8.38,32.84,1
34.78,4.0,51.68,0
37.93,8.26,48.99,0
27.88,7.33,76.42,1
28.28,7.29,33.03,1
25.49,6.61,74.42,1
29.11,7.45,58.5,1
31.08,8.47,60.2,1
28.7,8.26,53.12,1
25.22,7.89,36.44,1
31.77,6.62,66.17,1
25.09,7.31,59.18,1
36.81,4.27,75.07,0
29.04,7.95,137.3,0
36.55,4.18,57.54,0
23.6,7.44,79.16,0
35.22,4.32,47.44,0
20.89,6.53,76.35,0
34.56,7.03,42.08,0
26.82,7.45,33.0,1
27.8,7.09,49.3,1
29.0,9.25,53.88,0
20.49,6.94,75.98,0
34.19,4.57,31.24,0
25.79,7.51,79.17,1
25.62,7.46,54.01,1
37.91,4.18,63.45,0
27.45,7.16,101.55,0
25.44,7.65,77.83,1
31.87,7.28,48.85,1
30.84,7.01,65.42,1
30.69,8.0,37.56,1
30.2,7.43,77.01,1
26.32,6.76,114.24,0
35.5,5.7,38.21,0
31.12,6.55,42.71,1
37.82,4.81,77.74,0
31.2,8.36,66.57,1
37.35,5.68,31.17,0
30.64,7.87,72.09,1
29.27,6.69,48.3,1
36.87,8.5,66.89,0
28.96,7.17,55.06,1
26.23,7.5,71.67,1
27.88,6.55,42.18,1
26.2,7.81,70.92,1
28.95,6.64,64.22,1
30.94,8.04,48.37,1
29.3,7.62,70.8,1
25.5,8.39,38.18,1
32.0,7.83,119.03,0
25.31,7.2,71.71,1
25.02,8.36,31.22,1
31.02,7.03,42.63,1
33.47,7.79,47.59,0
29.45,7.34,63.68,1
25.14,6.82,71.24,1
29.11,7.7,47.37,1
27.05,7.77,57.67,1
31.2,7.54,42.34,1
29.47,7.66,78.94,1
29.63,7.14,30.78,1
27.64,7.88,34.24,1
29.74,8.18,64.82,1
25.06,7.2,138.08,0
28.05,7.93,39.45,1
29.96,6.74,37.75,1
27.42,9.79,41.4,0
30.82,6.67,43.35,1
26.41,8.38,67.48,1
27.98,7.67,75.25,1
26.6,9.68,61.2,0
35.33,4.55,70.49,0
35.98,4.04,31.31,0
27.44,8.1,33.85,1
26.95,8.34,44.26,1
25.73,8.38,30.14,1
29.82,8.15,32.3,1
29.63,8.07,77.87,1
25.08,10.13,58.92,0
29.22,7.05,33.27,1
26.01,7.86,34.19,1
30.12,7.22,40.43,1
34.54,4.51,30.97,0
31.81,8.34,73.57,1
34.47,7.14,73.45,0
29.42,8.22,46.37,1
36.99,5.26,45.02,0
28.74,7.11,40.14,1
30.29,7.48,55.9,1
28.84,6.9,69.33,1
27.85,7.31,78.38,1
27.61,7.34,50.52,1
25.5,7.55,56.8,1
25.5,7.03,115.68,0
30.61,7.41,63.07,1
27.08,9.84,66.36,0
28.65,6.83,56.4,1
28.64,8.43,53.83,1
31.01,7.42,62.43,1
26.07,8.29,68.04,1
26.62,8.42,34.89,1
25.18,7.71,72.65,1
28.56,6.52,46.77,1
27.35,7.32,119.44,0
25.43,7.32,80.0,1
25.95,6.6,35.0,1
21.95,7.35,46.29,0
30.16,10.08,38.94,0
26.56,6.69,37.97,1
25.59,6.66,47.22,1
26.35,9.33,62.17,0
36.27,5.34,55.4,0
27.11,7.65,69.63,1
27.69,6.8,148.65,0
23.32,6.73,40.15,0
28.62,9.54,52.19,0
30.61,10.31,70.25,0
31.54,7.1,46.51,1
30.43,6.74,37.44,1
26.04,7.24,76.37,1
31.42,7.82,62.48,1
34.56,4.78,42.43,0
30.18,7.9,48.02,1
31.43,5.86,54.97,0
25.16,8.03,73.29,1
22.66,7.52,64.61,0
34.68,5.88,72.51,0
37.12,5.43,43.34,0
27.29,7.4,144.29,0
27.01,6.75,32.01,1
25.26,8.1,78.39,1
27.48,5.94,76.37,0
29.0,7.04,147.1,0
31.05,6.72,34.1,1
22.48,8.33,61.24,0
33.07,7.79,38.11,0
27.72,7.78,120.19,0
29.12,7.65,58.22,1
28.8,6.5,68.32,1
30.3,8.34,36.17,1
27.96,7.49,50.32,1
26.67,6.56,69.04,1
30.66,8.43,72.19,1
30.28,8.15,40.58,1
29.49,7.72,64.94,1
31.98,6.97,60.02,1
28.04,6.54,40.6,1
20.48,8.18,45.07,0
28.29,7.57,91.24,0
27.33,7.65,40.65,1
27.0,8.07,58.16,1
31.8,4.45,72.75,0
31.8,7.62,57.06,1
26.35,8.34,75.48,1
25.01,8.41,56.7,1
31.13,6.65,65.95,1
28.78,7.04,45.22,1
29.53,5.52,60.51,0
28.4,8.43,72.58,1
26.07,7.67,69.83,1
28.71,7.86,74.39,1
28.51,7.0,61.93,1
34.16,8.36,55.82,0
27.81,10.27,32.46,0
26.22,7.41,145.03,0
31.62,4.13,76.59,0
26.72,7.0,43.74,1
30.33,7.69,61.9,1
31.56,7.43,68.19,1
30.91,6.78,61.44,1
35.39,4.82,30.37,0
30.49,6.97,54.33,1
30.73,7.88,38.9,1
23.3,8.22,70.35,0
31.42,6.93,75.23,1
22.53,7.35,32.59,0
29.81,7.57,68.46,1
29.97,7.87,60.26,1
30.92,8.02,34.19,1
31.05,7.95,30.3,1
25.24,6.59,63.59,1
30.96,8.12,77.36,1
26.75,6.13,49.93,0
31.47,7.08,55.96,1
30.46,7.88,78.12,1
24.14,7.57,44.35,0
31.85,7.78,40.22,1
25.74,6.66,67.23,1
31.43,8.05,68.03,1
29.52,6.51,56.28,1
25.62,8.44,57.58,1
26.73,5.72,61.14,0
36.56,7.95,44.93,0
25.84,8.41,63.11,1
30.64,8.08,42.05,1
25.47,9.99,58.16,0
29.69,10.36,79.53,0
28.56,6.87,74.49,1
27.72,6.7,76.73,1
27.5,7.5,73.05,1
23.52,7.2,54.28,0
28.01,8.08,64.55,1
25.01,6.99,76.78,1
27.17,8.26,34.55,1
30.18,7.93,42.09,1
33.79,5.51,35.96,0
31.99,7.48,42.02,1
31.13,6.52,32.88,1
30.21,7.14,109.99,0
29.17,6.57,37.73,1
26.93,6.59,49.65,1
31.02,8.03,73.5,1
28.15,7.9,35.38,1
35.92,7.88,58.24,0
27.33,8.01,70.02,1
25.52,7.23,96.71,0
28.15,9.27,64.89,0
31.53,7.26,66.93,1
29.76,8.44,30.4,1
22.18,7.61,45.43,0
29.4,7.21,55.49,1
27.08,6.53,55.45,1
25.8,7.44,57.43,1
28.03,10.18,51.23,0
26.55,7.65,61.29,1
30.82,9.96,42.23,0
28.27,7.17,40.3,1
27.94,7.43,30.17,1
26.34,7.16,70.5,1
37.39,7.48,65.95,0
26.05,6.66,54.85,1
30.56,7.47,77.22,1
35.37,5.13,64.2,0
31.16,8.26,48.14,1
31.43,6.96,68.11,1
35.12,6.66,31.05,0
31.74,10.43,65.03,0
26.77,7.81,38.87,1
26.03,4.44,59.08,0
25.66,8.37,62.88,1
28.2,6.78,121.44,0
27.23,6.59,51.36,1
26.33,8.27,30.92,1
29.16,7.07,58.64,1
31.42,7.38,100.09,0
26.32,7.53,54.47,1
27.09,7.94,47.18,1
30.99,7.64,61.61,1
29.02,8.31,35.37,1
25.52,8.31,47.55,1
31.0,7.15,69.07,1
22.11,6.94,58.86,0
32.0,7.8,33.19,1
26.46,7.73,61.93,1
33.47,4.52,48.31,0
29.47,7.75,37.04,1
28.88,8.34,31.95,1
25.88,7.21,138.12,0
28.35,8.14,61.91,1
30.76,7.03,76.38,1
25.47,8.28,41.03,1
26.36,7.25,39.71,1
27.86,8.44,76.35,1
29.9,6.55,73.77,1
29.7,10.36,32.79,0
29.99,7.15,35.18,1
26.42,8.09,34.87,1
31.76,8.32,36.61,1
28.15,8.16,79.91,1
29.88,5.36,74.01,0
36.74,7.0,37.67,0
29.04,7.09,62.77,1
28.6,6.55,62.44,1
26.61,6.94,70.0,1
27.12,8.02,56.02,1
31.29,7.01,67.33,1
30.1,9.86,62.76,0
31.26,8.09,57.0,1
28.66,7.68,37.79,1
29.87,8.09,64.0,1
25.52,7.79,34.79,1
30.65,7.02,55.19,1
31.99,8.46,31.12,1
26.98,6.6,68.97,1
34.93,6.05,77.37,0
27.8,8.31,43.16,1
28.32,8.37,54.61,1
33.13,7.5,60.49,0
31.93,8.2,78.45,1
25.36,7.45,68.4,1
28.32,7.61,31.32,1
36.85,6.51,53.49,0
31.14,7.71,71.94,1
30.56,8.48,48.71,1
26.23,8.02,62.71,1
28.85,8.38,59.09,1
28.45,7.27,73.38,1
26.64,7.82,70.63,1
29.47,8.43,47.64,1
31.49,8.18,90.31,0
25.65,6.8,69.61,1
31.62,7.34,66.69,1
30.11,5.86,46.67,0
30.57,6.66,79.71,1
