temperature,ph_level,turbidity,temp_delta,ph_delta,turb_delta,is_safe
28.74,7.22,9.9,-0.32,-0.03,-0.8,1
27.08,6.8,16.1,-0.13,-0.04,0.5,1
29.91,6.7,17.8,0.04,-0.05,-0.1,0
29.8,7.13,13.0,0.45,0.02,2.1,1
28.1,7.05,11.2,-0.03,0.01,-0.9,1
28.15,7.09,13.0,-0.21,0.0,0.9,1
29.24,7.29,14.5,-0.15,-0.05,-0.2,1
29.62,7.12,20.7,0.16,0.0,10.2,1
26.13,6.68,26.7,-0.01,-0.04,0.0,0
26.73,6.73,15.1,-0.28,-0.01,0.4,1
26.86,7.18,7.4,-0.07,0.06,0.0,1
28.38,7.79,16.3,0.16,-0.3,0.5,1
26.47,6.66,15.1,-0.58,-0.01,0.3,1
30.88,6.7,20.9,-0.07,0.01,-0.5,1
26.01,7.34,6.6,-0.24,0.01,0.2,1
25.35,6.7,12.5,0.3,0.01,0.0,1
27.44,7.34,6.4,0.14,0.02,-0.5,1
26.75,7.12,5.5,0.08,-0.06,-1.7,1
27.86,7.02,11.1,0.12,0.0,0.4,1
26.53,7.25,3.5,0.21,0.0,-0.1,1
27.66,6.83,14.9,-0.25,-0.02,1.3,1
27.09,6.72,18.4,0.09,0.01,1.8,1
27.99,7.15,3.6,-0.17,0.0,0.1,1
29.77,7.01,10.3,0.28,0.02,0.0,1
28.17,6.98,11.8,0.09,-0.01,-1.1,1
26.54,6.69,16.1,0.11,0.0,0.0,1
26.83,7.0,16.4,-0.75,-0.03,0.3,1
29.75,6.87,14.3,-0.4,-0.14,-0.9,1
27.53,6.87,15.7,0.22,-0.07,-0.1,1
27.78,7.71,8.0,-0.17,0.52,0.8,0
26.51,7.15,6.2,0.17,0.03,-0.4,1
30.32,7.14,9.0,0.07,0.04,-0.4,1
29.3,6.89,17.9,-0.2,0.0,-0.8,1
28.64,7.05,9.2,0.37,0.03,0.7,1
30.61,7.56,4.3,-0.04,-0.02,-0.7,1
27.53,6.96,12.8,0.07,0.03,-3.3,1
28.27,6.82,17.0,-0.02,-0.02,0.4,1
29.88,7.3,14.3,0.04,0.03,-0.7,1
26.56,6.61,18.1,-0.08,0.05,-0.3,1
30.0,7.5,4.1,0.07,0.02,0.1,1
29.67,7.25,18.6,-0.35,-0.04,0.1,1
25.77,6.9,12.7,0.03,-0.01,0.2,1
29.27,6.54,19.6,0.16,-0.01,0.2,1
26.49,6.73,13.1,0.05,-0.02,-1.0,1
27.38,7.26,5.7,0.12,-0.02,0.9,1
26.83,7.15,5.2,0.03,0.01,-0.8,1
29.86,6.92,11.9,0.24,0.01,-0.5,1
28.77,6.65,21.5,-0.03,-0.01,6.6,0
26.16,6.76,14.8,-0.08,-0.03,0.2,1
28.26,6.76,14.8,-0.17,-0.03,0.2,1
27.35,7.25,7.7,1.21,0.04,2.8,1
28.55,6.87,15.2,-0.12,-0.01,0.6,1
27.13,7.15,6.5,-0.11,-0.01,-0.7,1
27.84,7.19,2.9,-0.21,0.01,0.0,1
26.86,6.9,13.9,-0.1,-0.02,3.2,1
26.79,6.55,14.3,0.08,-0.46,1.3,0
27.28,6.89,16.2,-0.54,-0.18,0.8,1
29.1,6.96,12.5,-0.05,-0.02,0.0,1
29.9,7.01,15.8,0.24,0.07,-0.4,1
26.05,6.87,12.0,0.21,-0.03,0.7,1
30.7,7.42,5.1,-0.03,0.02,0.0,1
26.56,6.61,16.0,0.1,0.0,0.9,0
26.22,6.5,20.5,0.06,0.03,0.0,1
27.72,6.86,10.2,0.38,0.01,-0.3,1
27.48,7.11,9.9,-0.22,0.0,0.3,1
26.45,6.95,5.4,0.25,-0.02,0.4,1
29.52,7.12,12.8,-0.02,-0.07,1.6,1
28.29,7.1,17.6,0.04,-0.01,1.5,1
30.13,6.83,16.7,-0.09,0.03,0.2,1
25.66,6.69,16.4,0.06,-0.02,2.0,0
25.72,7.18,4.2,0.02,0.02,0.3,1
28.91,7.28,7.5,-0.3,0.02,0.9,1
27.91,7.01,10.2,0.05,-0.01,0.1,1
26.63,6.84,15.0,1.1,0.01,1.9,1
32.67,7.23,7.0,0.19,-0.02,-1.1,0
27.49,6.88,19.9,-0.39,-0.02,1.0,1
27.76,6.72,19.6,-0.09,0.04,2.3,1
30.07,6.93,12.3,0.4,-0.02,-0.5,1
29.74,7.51,8.7,-0.14,0.02,0.6,1
29.52,6.59,20.4,-0.02,0.01,0.0,1
26.54,7.02,7.0,-0.02,0.01,0.0,1
27.1,7.04,16.4,0.19,0.0,-0.7,1
25.8,6.79,15.2,-0.24,-0.04,-0.5,1
27.32,7.16,3.4,-0.19,0.0,-0.1,1
27.85,6.86,12.4,0.41,0.0,0.3,1
30.82,6.93,13.8,-0.37,0.0,0.3,1
26.79,6.66,14.6,0.04,0.0,1.6,1
26.74,7.13,8.6,0.02,0.06,1.3,1
29.63,7.47,4.6,0.07,0.0,-0.3,1
26.86,7.17,6.3,0.03,0.04,0.1,1
30.74,7.33,7.0,0.24,-0.03,0.2,1
30.32,7.52,5.0,0.19,-0.02,-0.1,1
30.97,7.37,8.7,0.04,0.02,-0.8,1
26.75,6.62,15.8,0.0,0.03,0.0,0
30.22,7.26,7.1,0.07,0.02,0.7,1
27.96,7.76,16.3,-0.19,-0.3,0.5,1
27.89,7.25,3.4,-0.12,-0.01,0.5,1
29.52,7.46,5.3,0.27,0.03,-0.1,1
26.02,7.23,4.8,0.03,0.03,-0.3,1
27.61,7.0,14.2,0.08,-0.02,-0.1,1
29.0,7.09,13.7,0.31,0.03,-0.4,1
26.75,7.03,5.9,0.3,0.08,0.5,1
26.16,7.0,13.1,-0.16,-0.01,-0.4,1
27.22,7.03,9.6,0.26,0.03,1.1,1
30.44,7.51,5.7,0.05,0.01,0.2,1
27.17,6.98,10.6,0.54,-0.02,0.6,1
22.74,7.22,5.0,0.59,0.04,-0.1,0
30.53,7.31,8.1,0.02,-0.02,0.4,1
27.54,6.57,16.3,0.16,-0.06,-0.4,1
25.54,6.72,13.6,-0.12,-0.04,1.8,1
29.9,7.58,4.1,0.04,0.0,0.0,1
28.91,7.21,8.7,0.07,0.02,0.8,1
26.49,7.24,4.8,-0.03,0.02,0.1,1
27.53,6.92,23.0,0.18,0.07,-1.3,0
26.64,7.14,8.1,-0.03,-0.07,2.0,1
26.13,6.96,9.8,-0.08,-0.01,-0.4,1
29.49,6.99,10.3,0.09,-0.03,-0.9,1
27.32,6.7,14.6,0.27,0.02,-0.2,1
30.76,6.61,18.4,0.2,0.01,-0.5,1
26.62,6.82,12.3,-0.01,-0.07,0.7,1
28.44,7.01,11.3,-0.2,-0.05,-0.2,1
26.45,7.03,8.9,-0.11,0.02,0.8,1
28.02,7.48,9.8,-0.01,-0.01,2.7,1
30.09,6.87,16.9,-0.04,0.05,-1.2,1
29.03,7.3,5.7,0.01,0.0,0.7,1
25.86,6.85,9.4,0.04,-0.06,8.1,1
24.1,7.54,9.0,-5.32,0.04,0.1,0
28.82,6.81,18.2,-0.31,-0.03,0.4,1
28.04,7.39,2.3,0.31,0.01,0.1,1
30.01,7.23,8.4,0.12,0.01,-1.0,1
30.53,7.35,9.6,0.13,0.01,0.6,0
29.31,6.91,15.2,-0.15,0.01,-0.9,1
26.36,7.34,19.9,-0.08,0.04,2.6,1
26.0,6.8,19.4,0.04,-0.02,-0.8,1
26.68,7.11,6.6,-0.02,0.06,0.9,1
26.77,6.65,14.5,0.48,-0.01,0.1,1
26.44,6.64,14.9,0.21,0.02,-1.8,1
28.15,6.62,18.4,0.06,0.01,0.4,1
30.16,7.48,3.9,0.16,-0.02,-0.2,1
26.51,6.9,11.1,-0.02,0.0,2.3,1
27.03,7.16,4.8,0.03,-0.01,1.7,1
28.37,6.61,15.8,-0.1,0.05,1.3,1
27.26,7.12,10.1,-0.23,-0.02,0.1,1
32.03,7.29,8.9,0.11,0.03,1.1,1
26.46,7.21,3.9,-0.04,-0.01,-0.5,1
28.36,6.61,18.6,-0.04,0.06,0.7,1
27.0,6.99,12.5,-0.11,-0.01,0.0,1
28.88,6.92,15.7,-0.26,-0.05,-0.4,1
27.42,6.66,14.6,0.18,0.04,0.2,0
27.28,6.95,13.1,0.16,0.01,1.3,1
29.9,6.79,16.6,0.09,-0.03,-1.0,1
29.95,7.09,12.8,-0.23,-0.01,0.3,1
30.11,7.22,8.8,-0.08,-0.05,-0.6,1
26.02,6.73,12.0,-0.29,0.0,0.4,1
29.47,7.26,8.3,0.24,0.04,-0.2,1
29.47,7.46,8.5,-0.23,0.1,0.7,1
28.08,7.08,8.8,-0.13,0.03,1.1,1
27.9,7.37,6.8,0.0,0.0,-0.7,1
28.33,7.02,9.2,0.21,-0.01,-0.7,1
26.35,7.31,3.6,-0.25,-0.03,-2.5,1
31.6,7.24,12.3,-0.04,0.0,-0.4,1
27.37,6.96,17.5,0.0,0.0,-1.0,1
30.79,7.29,8.9,0.18,0.05,0.4,1
26.49,7.03,8.4,-0.03,0.01,-0.4,1
28.5,6.68,14.9,-0.24,0.15,-1.2,1
28.62,6.98,11.2,-0.05,0.03,3.3,1
27.77,7.49,5.3,0.08,-0.02,-2.1,1
30.99,7.2,11.0,0.2,-0.03,-0.5,0
26.36,6.81,17.6,0.1,-0.01,0.2,1
29.74,7.07,13.9,0.0,-0.04,0.5,1
30.18,7.32,7.5,-0.06,0.2,2.9,1
30.5,7.01,13.2,-0.39,0.06,0.1,1
25.51,7.25,3.7,0.2,0.0,0.0,1
26.21,7.31,3.2,0.1,0.0,-0.1,1
27.25,7.03,10.2,-0.02,-0.02,-0.1,1
31.74,7.19,8.6,0.03,0.02,-0.1,1
27.03,7.36,6.5,-0.09,-0.01,-0.5,1
27.23,7.18,9.2,-0.19,0.05,-0.1,1
25.96,7.24,3.4,0.07,-0.01,0.1,1
28.39,6.58,18.8,-0.01,0.01,0.1,1
28.0,7.34,3.0,0.06,0.08,0.2,1
30.65,7.2,8.4,-0.02,-0.03,-0.9,1
27.76,7.28,8.9,-0.07,-0.04,-0.1,1
27.14,7.14,3.9,0.01,-0.01,2.6,1
29.65,7.42,6.7,0.23,-0.01,-0.4,1
28.4,6.8,16.7,0.1,-0.09,1.6,1
26.66,6.81,11.7,0.15,-0.01,0.7,1
28.77,6.67,25.5,0.0,-0.05,2.1,0
26.06,6.98,11.5,0.07,-0.01,1.2,1
28.26,7.35,3.7,0.23,0.01,0.6,1
27.93,7.02,10.5,0.1,0.02,0.3,1
31.19,6.55,20.9,0.14,-0.03,-0.9,0
29.23,7.13,11.6,0.42,0.11,-0.3,1
28.46,6.63,16.8,-0.11,-0.02,-0.6,1
29.26,6.92,13.4,0.16,-0.04,0.9,1
27.05,6.95,11.4,-0.08,0.01,-0.8,1
26.94,7.02,6.6,-0.02,-0.02,0.0,1
32.18,7.0,13.0,0.12,-0.01,0.2,0
28.68,6.94,15.0,-0.24,-0.02,0.0,1
28.71,6.97,10.4,0.21,0.0,-1.5,1
26.57,7.21,8.7,-0.43,0.04,1.2,1
27.77,6.99,10.8,-0.36,-0.03,-0.6,1
26.12,7.28,6.7,-0.06,0.05,0.5,1
27.56,6.65,15.8,0.23,0.03,0.6,1
25.56,7.02,11.6,0.0,0.01,0.1,1
30.37,7.14,10.7,0.11,0.0,0.4,1
31.76,7.15,15.2,-0.12,-0.08,-0.3,0
30.12,7.45,6.5,-0.17,-0.01,-1.0,1
27.72,6.9,10.7,0.36,-0.09,-1.1,1
30.64,7.22,13.0,0.06,-0.31,0.6,1
26.24,6.92,10.2,-0.1,0.0,0.3,1
31.87,7.17,11.6,0.21,0.01,-0.3,1
27.9,6.84,16.8,0.21,0.01,0.3,1
27.97,7.21,16.2,0.2,0.01,1.5,1
28.51,7.38,5.3,-0.23,-0.06,0.2,1
27.33,6.88,22.3,0.12,0.04,-0.3,0
29.03,7.4,9.8,-0.22,-0.01,2.0,1
27.28,7.35,5.0,-0.11,0.0,0.3,1
27.71,7.37,8.1,0.03,-0.48,0.1,1
26.72,7.07,7.7,0.05,-0.03,-2.3,1
28.32,7.22,13.1,-0.13,-0.03,-0.6,1
30.43,7.09,12.3,-0.48,-0.01,0.7,1
28.09,7.29,6.4,-0.38,-0.02,-1.3,1
25.52,6.85,11.3,0.03,0.0,-1.3,1
28.64,6.89,14.6,0.05,-0.03,0.1,1
29.18,6.77,16.3,-0.28,0.02,0.6,1
26.78,6.65,14.2,0.06,0.0,0.1,1
31.97,6.96,12.4,0.31,-0.03,0.1,0
27.26,7.04,10.5,0.09,-0.03,0.0,1
29.33,7.17,10.9,0.08,-0.05,-1.1,1
26.79,6.52,17.4,-0.1,-0.01,0.0,1
29.51,6.54,21.3,-0.02,-0.01,0.2,1
25.55,6.75,15.0,-0.11,-0.02,-0.1,1
26.56,6.99,13.9,-0.18,0.0,-0.7,1
30.6,7.11,12.2,0.12,0.03,-0.5,1
26.95,6.87,11.3,-0.1,-0.01,-0.2,1
29.59,7.34,9.5,0.1,0.02,0.5,1
26.89,6.89,14.5,0.09,-0.04,0.2,1
31.28,6.68,17.1,0.13,0.0,-1.3,1
26.52,6.94,14.2,0.13,-0.04,-2.2,1
30.22,6.79,16.7,0.2,0.01,-3.7,1
30.28,7.37,6.5,-0.13,0.06,-0.8,1
27.46,7.24,10.9,-0.29,0.03,-0.6,1
28.65,7.13,8.6,-0.12,-0.04,0.1,1
27.56,7.13,8.0,0.01,0.0,0.8,1
29.9,6.86,24.5,-0.1,0.0,0.7,0
31.96,7.55,3.6,0.05,0.01,0.1,0
29.67,7.45,4.8,-0.23,-0.02,0.4,1
28.4,7.16,10.2,-0.24,-0.07,-0.7,1
29.67,7.34,10.3,-0.03,-0.03,0.3,1
26.48,6.94,7.0,0.09,0.01,0.0,1
29.54,7.51,5.4,-0.08,0.01,-0.1,1
26.9,7.15,5.5,-0.09,0.01,0.0,1
31.85,6.94,14.0,-0.22,-0.05,-0.7,0
27.5,7.02,9.1,-0.16,-0.01,0.8,0
28.67,6.95,7.9,0.2,0.0,-0.1,1
26.31,6.7,15.8,-0.23,0.01,-0.3,1
29.87,6.75,17.9,0.12,0.0,0.4,1
27.24,6.9,6.6,-0.75,0.19,-10.2,1
28.63,6.66,16.3,0.0,-0.01,-0.1,1
26.13,7.16,3.3,0.08,-0.01,-0.6,1
27.01,7.09,7.0,0.19,-0.04,-0.2,1
27.04,6.84,16.0,-0.24,0.0,-0.2,1
29.54,6.98,14.5,-0.03,0.04,0.6,1
29.7,7.13,12.4,-0.12,0.01,0.3,1
26.78,7.27,5.0,-0.36,0.03,-0.4,1
27.02,6.67,26.9,0.17,0.0,-1.9,0
30.21,6.94,12.9,-0.06,0.02,0.7,1
30.05,6.55,20.7,0.12,0.01,0.0,1
27.84,7.27,7.1,0.25,0.05,-1.2,1
30.42,7.45,6.6,0.15,-0.04,0.3,1
29.57,6.94,13.9,0.03,0.02,-1.6,1
28.69,7.28,6.5,-0.01,0.01,-0.5,1
30.32,7.2,12.4,0.07,0.05,-0.8,1
29.17,7.48,3.8,0.12,-0.03,0.1,1
27.23,6.99,11.2,0.06,0.02,0.2,1
30.39,6.39,20.4,0.05,0.0,-0.1,0
28.52,7.06,10.6,0.24,0.04,-0.6,1
26.68,6.72,12.5,0.08,-0.02,0.1,1
25.54,6.59,17.2,0.14,0.0,0.0,1
29.8,6.7,18.2,-0.07,-0.03,-0.6,1
27.04,7.15,7.1,-0.09,0.0,0.6,1
29.59,7.4,11.2,0.04,0.0,0.2,1
29.57,7.2,12.1,-0.25,0.02,0.5,1
29.9,7.1,10.1,-0.29,0.03,0.5,0
26.58,7.02,7.5,-0.02,0.02,-0.9,1
25.58,6.88,11.9,0.13,-0.01,-0.2,1
28.03,7.07,12.5,0.06,0.0,0.5,1
28.24,7.03,10.9,-0.01,0.0,0.4,1
30.1,7.44,5.6,0.05,-0.05,0.2,1
27.73,7.35,11.2,-0.14,0.0,0.1,1
27.86,7.3,3.1,0.01,0.01,-1.2,1
31.91,7.54,3.5,-0.2,-0.01,-0.5,1
25.22,7.14,7.7,-2.98,-0.04,-0.3,0
28.98,7.32,9.0,0.33,0.08,-0.2,1
27.2,6.76,15.4,-0.22,0.0,-0.3,1
27.15,7.3,24.1,0.01,0.01,1.4,0
25.87,6.76,15.2,-0.19,0.01,0.0,1
28.1,7.14,3.0,-0.58,0.19,-13.1,1
27.0,6.99,5.8,-0.26,0.05,-0.1,1
28.67,6.8,14.2,0.24,1.21,1.3,0
26.28,6.82,11.8,-0.14,0.0,2.1,1
27.24,6.91,12.4,0.08,-0.03,1.0,1
28.21,6.77,12.7,-0.1,0.03,-0.2,1
30.41,7.36,7.4,0.11,0.09,-0.5,1
29.22,7.38,8.0,0.19,-0.09,-0.2,1
27.3,7.13,15.5,0.05,0.04,-0.6,1
26.54,6.98,8.4,0.24,-0.02,0.2,1
26.23,7.05,8.3,-0.03,0.01,-2.5,1
27.02,7.0,14.3,0.4,0.03,1.1,1
25.48,6.7,12.5,-0.31,0.0,1.9,0
26.7,6.64,14.1,0.29,-0.01,-0.6,1
30.55,7.17,10.7,-0.03,0.02,-0.1,1
27.74,7.12,9.6,0.14,-0.06,-1.3,1
26.65,6.99,7.0,0.07,-0.01,0.0,1
31.18,7.08,14.1,-0.21,0.02,-1.4,1
29.89,7.29,10.1,0.19,0.04,-2.9,1
27.57,7.07,9.9,-0.22,-0.01,0.6,1
25.75,6.79,13.7,-0.23,-0.02,-0.1,1
26.73,6.98,8.6,-0.03,0.02,-0.4,1
29.53,7.33,6.1,-0.15,-0.03,0.6,1
25.43,6.92,17.9,-0.15,-0.01,-0.9,1
26.54,7.14,11.7,-0.14,0.04,-0.5,1
27.83,7.08,36.7,-0.24,0.03,18.8,0
28.49,6.66,17.5,0.11,0.02,0.4,0
28.03,6.91,19.9,-0.05,-0.01,1.1,1
30.76,7.53,5.1,-0.17,-0.01,0.4,1
27.37,6.92,16.8,0.72,0.1,1.7,1
27.8,6.88,10.0,0.07,0.01,-0.3,1
25.65,6.55,13.1,-0.17,-0.08,-1.7,0
27.34,6.85,10.5,-0.02,-0.02,-0.2,1
25.53,6.41,16.3,-0.06,0.03,-1.3,0
28.54,7.3,10.2,0.01,-0.01,-0.5,1
27.86,7.33,5.0,-0.17,0.1,0.1,1
26.29,7.24,3.7,0.11,0.01,0.1,1
27.12,7.05,11.4,0.19,0.03,1.8,1
26.19,6.72,12.6,-0.01,0.0,-1.2,1
26.97,7.14,4.6,0.07,-0.09,0.4,1
32.94,7.12,11.2,0.29,-0.01,-0.3,0
27.88,7.2,6.8,-0.12,0.04,-0.7,1
29.63,6.97,9.8,0.14,-0.01,-0.5,1
28.11,6.72,16.8,0.32,0.07,0.1,1
31.09,6.91,17.9,0.0,0.0,-0.2,1
28.59,7.39,4.9,-0.38,-0.01,0.6,1
25.78,6.81,12.9,-0.32,0.0,-0.2,1
30.59,7.08,13.6,-0.28,-0.03,-0.4,1
26.56,7.16,8.7,0.03,-0.01,0.9,1
27.05,7.14,7.1,-0.16,0.0,-1.0,1
28.1,6.72,16.4,0.33,0.04,-1.2,1
27.33,6.63,23.7,-0.06,-0.01,-2.1,0
26.49,6.78,15.0,-0.36,0.01,-0.5,1
28.44,7.26,7.0,0.09,0.01,0.1,1
27.15,6.74,18.2,-0.35,-0.04,1.4,1
27.87,6.79,18.8,-0.38,0.07,0.6,0
29.26,6.79,18.1,0.11,0.08,0.2,1
30.53,7.03,13.1,0.26,0.01,-0.6,1
28.28,7.18,11.8,-0.11,-0.03,-0.7,1
28.59,7.06,11.9,-0.14,0.02,-1.7,1
31.89,7.33,8.3,-0.42,-0.04,0.3,1
30.33,6.71,20.5,-0.33,0.0,0.8,0
26.44,7.11,11.0,0.08,-0.01,0.8,1
27.42,6.72,21.6,0.05,0.02,6.9,1
28.2,7.3,5.7,-0.31,0.05,0.4,1
29.51,7.08,12.1,0.08,0.05,-2.5,1
26.48,7.16,9.7,0.26,0.0,-0.9,1
30.09,7.12,8.3,-0.2,-0.05,-0.9,1
28.02,7.13,8.9,-0.12,-0.05,-0.7,1
28.54,7.0,12.1,0.18,0.09,-1.1,1
28.14,6.98,7.8,0.26,-0.05,0.9,1
27.38,7.08,9.6,0.04,-0.05,-1.7,1
28.77,6.8,19.1,0.0,0.04,-0.2,1
27.36,7.02,18.3,-0.16,0.01,1.2,1
27.95,7.25,4.3,-0.14,0.07,-0.3,1
31.02,6.65,20.9,-0.04,0.06,-0.6,1
27.82,6.69,17.8,-0.14,0.04,-0.1,0
31.18,7.14,11.3,0.19,0.01,-1.4,1
30.18,7.52,7.9,0.3,0.02,-1.6,1
27.18,6.56,12.8,-0.02,-0.01,-3.0,1
27.82,6.69,16.6,0.32,0.01,0.5,1
28.39,7.2,16.0,0.26,0.01,-1.2,1
29.27,7.31,6.5,-0.13,-0.02,-0.1,1
28.25,6.62,19.7,0.17,-0.03,-1.5,1
26.03,6.81,12.1,-0.17,-0.05,-0.4,1
25.92,7.13,7.3,-0.06,-0.04,0.7,1
26.54,7.09,4.3,0.19,-0.02,-0.3,1
26.62,6.65,14.1,0.06,0.04,0.4,1
27.94,7.27,5.4,-0.2,-0.05,-0.6,1
26.41,7.18,7.6,0.34,0.01,-0.5,1
25.26,7.11,14.6,0.02,0.01,-0.8,0
28.25,7.37,6.5,0.03,0.01,0.5,1
28.05,7.48,9.3,0.03,0.0,-0.5,1
31.3,7.13,8.1,0.25,-0.07,-0.5,0
26.83,7.3,15.1,0.33,0.0,0.0,1
28.38,7.2,11.2,-0.02,0.04,1.0,1
29.52,6.85,19.0,-0.03,0.0,0.5,1
26.8,6.69,16.2,-0.13,0.03,-0.9,1
27.9,7.44,6.1,0.0,0.05,0.0,1
26.48,6.69,12.3,0.04,-0.02,-0.4,0
28.08,7.13,9.8,0.09,0.0,0.2,1
31.28,7.01,11.2,-0.18,-0.01,-1.3,1
28.01,6.64,18.8,-0.01,-0.01,-0.6,1
29.68,6.91,12.7,0.28,0.01,-0.9,1
30.08,7.21,11.7,-0.02,0.0,-0.2,1
27.83,7.14,17.0,-0.16,0.0,-1.1,1
26.85,7.08,8.5,0.0,0.0,-0.4,1
29.93,7.48,4.0,0.02,-0.01,0.1,1
25.31,7.25,3.7,0.25,-0.02,-0.1,1
25.56,7.2,6.1,-0.15,-0.01,0.2,1
26.58,6.47,20.2,0.09,-0.02,-0.3,0
28.58,7.13,10.7,-0.15,-0.05,1.5,1
31.3,6.94,14.5,-0.32,0.0,0.3,1
29.26,7.42,4.4,0.07,0.0,-0.1,1
27.91,7.29,2.8,0.38,0.01,-0.8,1
26.16,6.47,20.5,0.19,0.24,-0.2,0
28.99,7.49,3.9,0.12,0.02,0.0,1
26.27,6.8,13.6,0.02,0.03,0.6,1
26.47,7.08,6.9,0.25,0.01,-0.2,1
30.1,7.12,10.9,-0.15,0.04,0.0,1
28.1,6.98,5.9,0.09,0.06,0.8,1
26.89,6.76,13.8,-0.09,0.0,-0.2,1
26.79,7.14,6.4,-0.06,-0.03,0.4,1
27.03,7.18,11.5,-0.5,-0.02,0.3,1
29.83,7.46,7.6,-0.22,-0.05,0.0,1
29.89,6.61,23.0,-0.15,-0.01,-0.8,1
26.69,7.06,4.7,-0.05,-0.02,0.8,1
29.13,6.97,13.0,0.41,0.03,-0.5,1
29.03,7.3,12.0,0.19,0.08,-0.4,1
27.75,6.79,16.1,0.2,-0.01,0.5,1
29.5,6.84,16.3,-0.22,0.0,0.7,1
26.35,7.13,6.7,0.02,0.03,-0.7,1
30.71,7.1,9.8,0.13,0.02,-0.1,1
29.69,7.32,4.8,-0.24,-0.03,0.5,1
26.86,7.02,8.9,-0.25,-0.07,-0.4,1
31.07,7.12,12.4,-0.1,-0.04,0.7,1
27.76,6.64,15.4,0.22,-0.04,-0.5,1
29.33,6.77,19.4,-0.13,-0.01,-0.8,1
28.32,7.24,8.3,-0.08,0.03,-1.4,1
28.36,7.03,10.4,-0.12,-0.03,-0.4,1
27.63,6.79,10.3,-0.01,0.01,0.0,1
29.6,7.53,10.3,0.08,0.01,0.5,1
29.59,7.14,21.4,-0.11,0.04,1.0,1
26.95,6.77,14.8,-0.17,-0.02,-0.3,1
31.57,7.26,8.3,0.22,-0.04,0.2,1
28.69,7.42,4.1,-0.04,-0.03,0.0,1
25.16,7.09,10.6,-0.1,-0.02,-4.0,1
27.69,7.28,19.8,-0.18,0.04,-0.8,1
28.49,7.37,8.3,-0.62,-0.05,2.0,1
27.52,7.25,5.7,-0.07,-0.01,-0.4,1
31.12,6.52,22.1,-0.07,-0.03,1.2,1
27.72,7.29,9.8,0.13,0.0,-1.1,1
20.55,7.11,5.9,-5.91,0.0,0.7,0
29.92,7.15,11.4,0.3,0.0,-0.1,1
27.57,6.93,4.7,0.24,0.05,-0.5,1
27.25,7.11,7.8,0.32,0.01,-0.7,1
28.29,6.79,16.6,-0.23,-0.01,-0.1,1
28.02,6.92,11.6,-0.07,-0.03,-0.1,1
28.76,7.32,6.3,-0.19,-0.01,-0.7,1
30.37,6.97,10.0,0.16,0.01,-1.0,1
27.34,6.94,10.3,-0.04,0.02,0.3,1
26.45,6.89,12.3,-0.01,0.02,-0.1,1
29.73,6.82,16.2,0.09,0.03,-0.7,1
28.37,7.09,8.0,0.37,0.03,-0.9,1
26.06,7.25,8.4,-0.23,-0.01,0.2,1
28.86,6.98,18.1,0.33,0.05,-0.9,1
30.41,7.18,10.4,-0.05,-0.04,0.9,1
28.6,6.92,19.4,-0.32,0.07,0.9,1
31.02,7.41,6.0,0.2,0.02,-0.3,1
25.75,7.24,3.8,0.24,-0.01,0.1,1
31.61,7.11,15.8,0.02,0.0,0.2,1
25.39,6.96,11.1,-0.34,0.0,-0.3,1
27.16,7.13,8.1,-0.13,-0.02,0.3,1
26.76,6.91,15.5,-0.45,-0.06,1.0,1
